marker,position,absolute_pos,n_tokens,emotion,task,split,file_id
so,0.2,1,6,-1,6way,train,Ses02M_script02
well,0.0,0,6,-1,6way,train,Ses02M_script02
well,0.0,0,12,-1,6way,train,Ses02M_script03
and,0.6363636363636364,7,12,-1,6way,train,Ses02M_script03
and,0.3333333333333333,1,4,1,6way,train,Ses02M_script03
so,0.6666666666666666,4,7,-1,6way,train,Ses02M_script03
oh,0.0,0,7,4,6way,train,Ses02M_script03
probably,0.42857142857142855,3,8,1,6way,train,Ses02M_script03
so,0.125,1,9,-1,6way,train,Ses02M_script03
oh,0.0,0,5,2,6way,train,Ses02M_script03
and,0.5,3,7,1,6way,train,Ses02M_script03
well,0.0,0,13,-1,6way,train,Ses02M_script03
well,0.0,0,9,-1,6way,train,Ses02M_script03
and,0.875,7,9,-1,6way,train,Ses02M_script03
like,0.8,4,6,2,6way,train,Ses02M_script03
oh,0.0,0,6,2,6way,train,Ses02M_script03
well,0.5,3,7,-1,6way,train,Ses02M_script03
well,0.0,0,15,-1,6way,train,Ses02M_script03
well,0.0,0,6,-1,6way,train,Ses02M_script03
i believe,0.2,1,6,-1,6way,train,Ses02M_script03
so,0.0,0,8,4,6way,train,Ses02M_script03
like,0.6388888888888888,23,37,4,6way,train,Ses02M_script03
and,0.08333333333333333,3,37,4,6way,train,Ses02M_script03
and,0.3333333333333333,12,37,4,6way,train,Ses02M_script03
and,0.3888888888888889,14,37,4,6way,train,Ses02M_script03
so,1.0,17,18,4,6way,train,Ses02M_script03
and,0.47058823529411764,8,18,4,6way,train,Ses02M_script03
and,0.7058823529411765,12,18,4,6way,train,Ses02M_script03
and,0.2857142857142857,12,43,-1,6way,train,Ses02M_script03
and,0.4523809523809524,19,43,-1,6way,train,Ses02M_script03
and,0.7142857142857143,30,43,-1,6way,train,Ses02M_script03
so,0.5909090909090909,13,23,-1,6way,train,Ses02M_script03
and,0.7222222222222222,13,19,-1,6way,train,Ses02M_script03
so,0.9090909090909091,10,12,1,6way,train,Ses02M_script03
oh,0.0,0,12,1,6way,train,Ses02M_script03
and,0.45454545454545453,5,12,1,6way,train,Ses02M_script03
like,0.9375,15,17,1,6way,train,Ses02M_script03
and,0.25,4,17,1,6way,train,Ses02M_script03
and,0.8125,13,17,1,6way,train,Ses02M_script03
oh,0.0,0,6,1,6way,train,Ses02M_script03
and,0.0,0,4,1,6way,train,Ses02M_script03
so,0.5,5,11,0,6way,train,Ses02M_script03
well,0.3333333333333333,4,13,-1,6way,train,Ses02M_script03
and,0.7333333333333333,11,16,3,6way,train,Ses02M_script03
so,0.3125,5,17,3,6way,train,Ses02M_script03
well,0.0,0,17,3,6way,train,Ses02M_script03
and,0.4375,7,17,3,6way,train,Ses02M_script03
so,0.875,7,9,-1,6way,train,Ses02M_script03
so,0.2,3,16,3,6way,train,Ses02M_script03
and,0.5333333333333333,8,16,3,6way,train,Ses02M_script03
and,0.6666666666666666,10,16,3,6way,train,Ses02M_script03
and,0.8125,13,17,3,6way,train,Ses02M_script03
and,0.9375,15,17,3,6way,train,Ses02M_script03
well,0.0,0,7,3,6way,train,Ses02M_script03
so,0.23076923076923078,3,14,-1,6way,train,Ses02M_script03
so,0.6666666666666666,2,4,-1,6way,train,Ses02M_script03
so,0.6666666666666666,2,4,3,6way,train,Ses02M_script03
oh,0.0,0,4,5,6way,train,Ses02M_script03
like,0.5,3,7,5,6way,train,Ses02M_script03
oh,0.0,0,15,5,6way,train,Ses02M_script03
and,0.8571428571428571,12,15,5,6way,train,Ses02M_script03
like,0.9473684210526315,18,20,0,6way,train,Ses02M_script03
oh,0.0,0,18,-1,6way,train,Ses02M_script03
oh,0.0,0,3,0,6way,train,Ses02M_script03
so,0.8,8,11,-1,6way,train,Ses02M_script03
and,0.375,3,9,-1,6way,train,Ses02M_script03
well,0.1111111111111111,1,10,5,6way,train,Ses02M_script03
and,0.8888888888888888,8,10,5,6way,train,Ses02M_script03
and,0.3333333333333333,4,13,0,6way,train,Ses02M_script03
and,0.75,12,17,0,6way,train,Ses02M_script03
and,0.875,14,17,0,6way,train,Ses02M_script03
and,0.42857142857142855,9,22,0,6way,train,Ses02M_script03
and,0.9090909090909091,10,12,0,6way,train,Ses02M_script03
like,0.75,3,5,0,6way,train,Ses02M_script03
oh,0.0,0,4,0,6way,train,Ses02M_script03
and,0.23809523809523808,10,43,0,6way,train,Ses02M_script03
and,0.30952380952380953,13,43,0,6way,train,Ses02M_script03
like,0.85,17,21,-1,6way,train,Ses03F_impro01_
so,0.3333333333333333,2,7,-1,6way,train,Ses03F_impro01_
oh,0.0,0,2,3,6way,train,Ses03F_impro01_
but,0.7241379310344828,21,30,3,6way,train,Ses03F_impro01_
and,0.72,18,26,5,6way,train,Ses03F_impro01_
so,0.42857142857142855,3,8,5,6way,train,Ses03F_impro01_
so,0.7142857142857143,5,8,5,6way,train,Ses03F_impro01_
so,1.0,7,8,5,6way,train,Ses03F_impro01_
probably,0.3333333333333333,2,7,3,6way,train,Ses03F_impro01_
and,0.0,0,22,5,6way,train,Ses03F_impro01_
and,0.38095238095238093,8,22,5,6way,train,Ses03F_impro01_
and,0.8571428571428571,18,22,5,6way,train,Ses03F_impro01_
so,0.96875,31,33,5,6way,train,Ses03F_impro01_
well,0.0,0,33,5,6way,train,Ses03F_impro01_
and,0.3125,10,33,5,6way,train,Ses03F_impro01_
and,0.65625,21,33,5,6way,train,Ses03F_impro01_
so,0.46153846153846156,12,27,5,6way,train,Ses03F_impro01_
and,0.15384615384615385,4,27,5,6way,train,Ses03F_impro01_
and,0.38461538461538464,10,27,5,6way,train,Ses03F_impro01_
and,0.7692307692307693,20,27,5,6way,train,Ses03F_impro01_
but,0.0,0,27,5,6way,train,Ses03F_impro01_
so,0.5,9,19,-1,6way,train,Ses03F_impro01_
well,0.0,0,19,-1,6way,train,Ses03F_impro01_
maybe,0.05555555555555555,1,19,-1,6way,train,Ses03F_impro01_
but,0.0,0,21,-1,6way,train,Ses03F_impro01_
and,0.25,5,21,-1,6way,train,Ses03F_impro01_
and,0.6,12,21,-1,6way,train,Ses03F_impro01_
and,0.75,15,21,-1,6way,train,Ses03F_impro01_
so,0.6470588235294118,11,18,-1,6way,train,Ses03F_impro02_
so,0.8,16,21,1,6way,train,Ses03F_impro02_
oh,0.0,0,1,4,6way,train,Ses03F_impro02_
so,0.36363636363636365,8,23,-1,6way,train,Ses03F_impro02_
well,0.2727272727272727,6,23,-1,6way,train,Ses03F_impro02_
and,0.8636363636363636,19,23,-1,6way,train,Ses03F_impro02_
oh,0.0,0,6,-1,6way,train,Ses03F_impro02_
well,0.0,0,6,4,6way,train,Ses03F_impro02_
oh,0.0,0,4,-1,6way,train,Ses03F_impro02_
and,0.0,0,24,2,6way,train,Ses03F_impro02_
so,0.7272727272727273,16,23,-1,6way,train,Ses03F_impro02_
well,0.7727272727272727,17,23,-1,6way,train,Ses03F_impro02_
and,0.0,0,23,-1,6way,train,Ses03F_impro02_
and,0.4090909090909091,9,23,-1,6way,train,Ses03F_impro02_
and,0.6818181818181818,15,23,-1,6way,train,Ses03F_impro02_
probably,0.6,6,11,2,6way,train,Ses03F_impro02_
but,0.8571428571428571,6,8,-1,6way,train,Ses03F_impro02_
well,0.0,0,8,-1,6way,train,Ses03F_impro02_
maybe,0.0,0,6,5,6way,train,Ses03F_impro02_
and,0.5,1,3,2,6way,train,Ses03F_impro02_
but,0.10526315789473684,2,20,5,6way,train,Ses03F_impro02_
and,0.0,0,19,5,6way,train,Ses03F_impro02_
you know,0.0,0,14,5,6way,train,Ses03F_impro02_
and,0.6923076923076923,9,14,5,6way,train,Ses03F_impro02_
like,0.8888888888888888,8,10,2,6way,train,Ses03F_impro02_
but,0.0,0,7,2,6way,train,Ses03F_impro02_
oh,0.0,0,1,5,6way,train,Ses03F_impro02_
so,0.25,2,9,2,6way,train,Ses03F_impro02_
but,0.375,3,9,2,6way,train,Ses03F_impro02_
so,0.8260869565217391,19,24,2,6way,train,Ses03F_impro02_
but,0.9130434782608695,21,24,2,6way,train,Ses03F_impro02_
you know,0.0,0,24,2,6way,train,Ses03F_impro02_
and,0.7391304347826086,17,24,2,6way,train,Ses03F_impro02_
you know,0.3684210526315789,7,20,-1,6way,train,Ses03F_impro02_
so,0.09523809523809523,2,22,5,6way,train,Ses03F_impro02_
but,0.0,0,22,5,6way,train,Ses03F_impro02_
like,0.8571428571428571,6,8,2,6way,train,Ses03F_impro02_
but,0.0,0,15,2,6way,train,Ses03F_impro02_
and,0.45454545454545453,5,12,2,6way,train,Ses03F_impro02_
oh,0.3333333333333333,1,4,2,6way,train,Ses03F_impro02_
but,0.0,0,15,-1,6way,train,Ses03F_impro02_
and,0.7142857142857143,10,15,-1,6way,train,Ses03F_impro02_
you know,0.5882352941176471,10,18,2,6way,train,Ses03F_impro02_
you know,0.7058823529411765,12,18,2,6way,train,Ses03F_impro02_
and,0.0,0,18,2,6way,train,Ses03F_impro02_
so,0.9375,15,17,-1,6way,train,Ses03F_impro02_
and,0.5625,9,17,-1,6way,train,Ses03F_impro02_
and,0.875,14,17,-1,6way,train,Ses03F_impro02_
and,1.0,16,17,-1,6way,train,Ses03F_impro02_
and,0.0,0,13,2,6way,train,Ses03F_impro02_
and,0.08333333333333333,1,13,2,6way,train,Ses03F_impro02_
and,0.5,6,13,2,6way,train,Ses03F_impro02_
and,0.34615384615384615,9,27,0,6way,train,Ses03F_impro02_
well,0.0,0,16,2,6way,train,Ses03F_impro02_
so,0.5789473684210527,11,20,2,6way,train,Ses03F_impro02_
so,0.5,1,3,2,6way,train,Ses03F_impro02_
so,0.5,1,3,2,6way,train,Ses03F_impro02_
so,1.0,2,3,2,6way,train,Ses03F_impro02_
oh,0.0,0,12,4,6way,train,Ses03F_impro03_
like,0.53125,17,33,-1,6way,train,Ses03F_impro03_
like,0.71875,23,33,-1,6way,train,Ses03F_impro03_
like,0.8125,26,33,-1,6way,train,Ses03F_impro03_
probably,0.25,8,33,-1,6way,train,Ses03F_impro03_
like,0.0,0,3,4,6way,train,Ses03F_impro03_
oh,0.0,0,2,4,6way,train,Ses03F_impro03_
so,0.0,0,6,-1,6way,train,Ses03F_impro03_
so,0.06666666666666667,2,31,-1,6way,train,Ses03F_impro03_
so,0.16666666666666666,5,31,-1,6way,train,Ses03F_impro03_
oh,0.0,0,31,-1,6way,train,Ses03F_impro03_
and,0.5333333333333333,16,31,-1,6way,train,Ses03F_impro03_
like,0.16216216216216217,6,38,-1,6way,train,Ses03F_impro03_
like,0.24324324324324326,9,38,-1,6way,train,Ses03F_impro03_
so,0.08108108108108109,3,38,-1,6way,train,Ses03F_impro03_
so,0.7027027027027027,26,38,-1,6way,train,Ses03F_impro03_
so,0.7567567567567568,28,38,-1,6way,train,Ses03F_impro03_
and,0.10810810810810811,4,38,-1,6way,train,Ses03F_impro03_
and,0.972972972972973,36,38,-1,6way,train,Ses03F_impro03_
like,0.36363636363636365,8,23,4,6way,train,Ses03F_impro03_
and,0.5454545454545454,12,23,4,6way,train,Ses03F_impro03_
and,0.6363636363636364,14,23,4,6way,train,Ses03F_impro03_
and,1.0,22,23,4,6way,train,Ses03F_impro03_
oh,1.0,2,3,-1,6way,train,Ses03F_impro03_
like,0.06060606060606061,2,34,4,6way,train,Ses03F_impro03_
but,0.30303030303030304,10,34,4,6way,train,Ses03F_impro03_
oh,0.09090909090909091,3,34,4,6way,train,Ses03F_impro03_
and,0.0,0,34,4,6way,train,Ses03F_impro03_
and,0.6363636363636364,21,34,4,6way,train,Ses03F_impro03_
and,1.0,33,34,4,6way,train,Ses03F_impro03_
like,1.0,10,11,4,6way,train,Ses03F_impro03_
and,0.4,4,11,4,6way,train,Ses03F_impro03_
oh,0.0,0,1,-1,6way,train,Ses03F_impro03_
and,0.1875,3,17,4,6way,train,Ses03F_impro03_
and,0.375,6,17,4,6way,train,Ses03F_impro03_
and,0.625,10,17,4,6way,train,Ses03F_impro03_
oh,0.0,0,3,4,6way,train,Ses03F_impro03_
like,0.05555555555555555,2,37,4,6way,train,Ses03F_impro03_
like,0.16666666666666666,6,37,4,6way,train,Ses03F_impro03_
like,0.6388888888888888,23,37,4,6way,train,Ses03F_impro03_
so,0.5833333333333334,21,37,4,6way,train,Ses03F_impro03_
and,0.0,0,37,4,6way,train,Ses03F_impro03_
and,0.5555555555555556,20,37,4,6way,train,Ses03F_impro03_
and,0.7222222222222222,26,37,4,6way,train,Ses03F_impro03_
like,0.4166666666666667,5,13,-1,6way,train,Ses03F_impro03_
like,1.0,12,13,-1,6way,train,Ses03F_impro03_
and,0.0,0,13,-1,6way,train,Ses03F_impro03_
and,0.9166666666666666,11,13,-1,6way,train,Ses03F_impro03_
like,0.20689655172413793,6,30,4,6way,train,Ses03F_impro03_
like,0.3448275862068966,10,30,4,6way,train,Ses03F_impro03_
like,0.7931034482758621,23,30,4,6way,train,Ses03F_impro03_
so,1.0,29,30,4,6way,train,Ses03F_impro03_
i think,0.8275862068965517,24,30,4,6way,train,Ses03F_impro03_
and,0.6896551724137931,20,30,4,6way,train,Ses03F_impro03_
but,0.5,4,9,4,6way,train,Ses03F_impro03_
like,0.45454545454545453,5,12,4,6way,train,Ses03F_impro03_
like,0.8823529411764706,15,18,1,6way,train,Ses03F_impro03_
oh,0.0,0,18,1,6way,train,Ses03F_impro03_
and,0.17647058823529413,3,18,1,6way,train,Ses03F_impro03_
like,0.0,0,5,1,6way,train,Ses03F_impro03_
so,0.2777777777777778,5,19,1,6way,train,Ses03F_impro03_
so,0.6111111111111112,11,19,1,6way,train,Ses03F_impro03_
so,0.8333333333333334,15,19,1,6way,train,Ses03F_impro03_
but,0.0,0,19,1,6way,train,Ses03F_impro03_
so,0.0,0,14,-1,6way,train,Ses03F_impro03_
probably,1.0,6,7,1,6way,train,Ses03F_impro03_
and,0.8333333333333334,5,7,1,6way,train,Ses03F_impro03_
like,0.0,0,19,1,6way,train,Ses03F_impro03_
i think,0.05555555555555555,1,19,1,6way,train,Ses03F_impro03_
but,0.8,4,6,-1,6way,train,Ses03F_impro03_
like,0.16666666666666666,1,7,-1,6way,train,Ses03F_impro03_
oh,0.0,0,7,-1,6way,train,Ses03F_impro03_
so,0.2962962962962963,8,28,-1,6way,train,Ses03F_impro03_
i think,0.4074074074074074,11,28,-1,6way,train,Ses03F_impro03_
oh,0.0,0,28,-1,6way,train,Ses03F_impro03_
and,0.7407407407407407,20,28,-1,6way,train,Ses03F_impro03_
maybe,0.037037037037037035,1,28,-1,6way,train,Ses03F_impro03_
maybe,0.25,3,13,-1,6way,train,Ses03F_impro03_
oh,0.0,0,2,-1,6way,train,Ses03F_impro03_
so,0.5,2,5,4,6way,train,Ses03F_impro03_
maybe,0.6111111111111112,11,19,5,6way,train,Ses03F_impro04_
like,0.75,3,5,3,6way,train,Ses03F_impro04_
like,0.7777777777777778,14,19,2,6way,train,Ses03F_impro04_
and,0.5555555555555556,10,19,2,6way,train,Ses03F_impro04_
and,0.6666666666666666,12,19,2,6way,train,Ses03F_impro04_
and,1.0,10,11,5,6way,train,Ses03F_impro04_
so,0.0,0,8,5,6way,train,Ses03F_impro04_
like,1.0,11,12,5,6way,train,Ses03F_impro04_
and,0.18181818181818182,2,12,5,6way,train,Ses03F_impro04_
and,0.36363636363636365,4,12,5,6way,train,Ses03F_impro04_
and,0.5454545454545454,6,12,5,6way,train,Ses03F_impro04_
like,0.625,20,33,5,6way,train,Ses03F_impro04_
like,0.96875,31,33,5,6way,train,Ses03F_impro04_
so,0.5,16,33,5,6way,train,Ses03F_impro04_
like,0.14285714285714285,2,15,5,6way,train,Ses03F_impro04_
like,0.5,7,15,5,6way,train,Ses03F_impro04_
but,0.02857142857142857,1,36,5,6way,train,Ses03F_impro04_
and,0.5428571428571428,19,36,5,6way,train,Ses03F_impro04_
oh,0.0,0,12,3,6way,train,Ses03F_impro04_
so,0.4166666666666667,5,13,3,6way,train,Ses03F_impro04_
maybe,1.0,2,3,5,6way,train,Ses03F_impro04_
though,0.38461538461538464,10,27,-1,6way,train,Ses03F_impro04_
so,0.16666666666666666,1,7,3,6way,train,Ses03F_impro04_
like,0.6296296296296297,17,28,-1,6way,train,Ses03F_impro04_
but,0.2962962962962963,8,28,-1,6way,train,Ses03F_impro04_
and,0.8571428571428571,6,8,3,6way,train,Ses03F_impro04_
but,1.0,9,10,5,6way,train,Ses03F_impro04_
and,0.7777777777777778,7,10,5,6way,train,Ses03F_impro04_
so,0.6666666666666666,8,13,5,6way,train,Ses03F_impro04_
unfortunately,1.0,1,2,-1,6way,train,Ses03F_impro04_
so,0.06666666666666667,1,16,-1,6way,train,Ses03F_impro04_
and,0.6666666666666666,10,16,-1,6way,train,Ses03F_impro04_
well,0.0,0,4,3,6way,train,Ses03F_impro04_
well,1.0,3,4,3,6way,train,Ses03F_impro04_
maybe,0.0,0,8,3,6way,train,Ses03F_impro04_
i guess,0.25,1,5,2,6way,train,Ses03F_impro04_
and,0.5294117647058824,9,18,5,6way,train,Ses03F_impro05_
so,0.08333333333333333,1,13,5,6way,train,Ses03F_impro05_
but,0.3333333333333333,4,13,5,6way,train,Ses03F_impro05_
and,0.6176470588235294,21,35,5,6way,train,Ses03F_impro05_
and,0.8888888888888888,8,10,5,6way,train,Ses03F_impro05_
and,0.42857142857142855,6,15,0,6way,train,Ses03F_impro05_
and,0.9285714285714286,13,15,0,6way,train,Ses03F_impro05_
and,0.37037037037037035,10,28,5,6way,train,Ses03F_impro05_
and,0.5185185185185185,14,28,5,6way,train,Ses03F_impro05_
and,0.7407407407407407,20,28,5,6way,train,Ses03F_impro05_
maybe,0.0,0,10,5,6way,train,Ses03F_impro05_
well,0.0,0,13,5,6way,train,Ses03F_impro05_
so,0.8461538461538461,11,14,3,6way,train,Ses03F_impro05_
oh,0.0,0,14,3,6way,train,Ses03F_impro05_
maybe,0.38461538461538464,5,14,3,6way,train,Ses03F_impro05_
maybe,0.7692307692307693,10,14,3,6way,train,Ses03F_impro05_
maybe,0.2,3,16,5,6way,train,Ses03F_impro05_
so,0.7391304347826086,34,47,5,6way,train,Ses03F_impro05_
and,0.391304347826087,18,47,5,6way,train,Ses03F_impro05_
and,0.4782608695652174,22,47,5,6way,train,Ses03F_impro05_
so,0.8888888888888888,24,28,5,6way,train,Ses03F_impro05_
and,0.4074074074074074,11,28,5,6way,train,Ses03F_impro05_
and,0.48148148148148145,13,28,5,6way,train,Ses03F_impro05_
and,0.7777777777777778,28,37,0,6way,train,Ses03F_impro05_
so,0.375,6,17,5,6way,train,Ses03F_impro05_
so,1.0,16,17,5,6way,train,Ses03F_impro05_
well,0.0,0,17,5,6way,train,Ses03F_impro05_
and,0.5,8,17,5,6way,train,Ses03F_impro05_
well,0.47058823529411764,8,18,0,6way,train,Ses03F_impro05_
and,0.0,0,18,0,6way,train,Ses03F_impro05_
so,0.7222222222222222,13,19,-1,6way,train,Ses03F_impro05_
and,0.3333333333333333,6,19,-1,6way,train,Ses03F_impro05_
and,0.0,0,17,3,6way,train,Ses03F_impro05_
though,0.25,6,25,5,6way,train,Ses03F_impro05_
maybe,0.041666666666666664,1,25,5,6way,train,Ses03F_impro05_
and,0.7777777777777778,14,19,5,6way,train,Ses03F_impro05_
i think,0.0,0,17,3,6way,train,Ses03F_impro05_
so,0.14285714285714285,2,15,-1,6way,train,Ses03F_impro05_
well,0.0,0,15,-1,6way,train,Ses03F_impro05_
probably,0.6923076923076923,9,14,5,6way,train,Ses03F_impro05_
well,0.0,0,7,0,6way,train,Ses03F_impro05_
like,0.36363636363636365,4,12,2,6way,train,Ses03F_impro06_
and,0.9090909090909091,10,12,2,6way,train,Ses03F_impro06_
though,0.06666666666666667,1,16,2,6way,train,Ses03F_impro06_
and,0.4,6,16,2,6way,train,Ses03F_impro06_
and,0.6,9,16,2,6way,train,Ses03F_impro06_
but,0.35714285714285715,5,15,2,6way,train,Ses03F_impro06_
so,0.3,6,21,2,6way,train,Ses03F_impro06_
so,0.2,1,6,2,6way,train,Ses03F_impro06_
so,1.0,5,6,2,6way,train,Ses03F_impro06_
so,0.0,0,6,2,6way,train,Ses03F_impro06_
so,0.6,3,6,2,6way,train,Ses03F_impro06_
so,1.0,8,9,2,6way,train,Ses03F_impro06_
and,0.0,0,7,2,6way,train,Ses03F_impro06_
so,0.6,6,11,2,6way,train,Ses03F_impro06_
so,0.0,0,6,2,6way,train,Ses03F_impro06_
so,0.4,2,6,2,6way,train,Ses03F_impro06_
so,0.8,4,6,2,6way,train,Ses03F_impro06_
so,0.0,0,2,2,6way,train,Ses03F_impro06_
though,0.2,3,16,2,6way,train,Ses03F_impro06_
like,0.42857142857142855,6,15,2,6way,train,Ses03F_impro06_
like,0.8,8,11,2,6way,train,Ses03F_impro06_
like,0.2222222222222222,2,10,2,6way,train,Ses03F_impro06_
like,0.5555555555555556,5,10,2,6way,train,Ses03F_impro06_
so,0.25,2,9,2,6way,train,Ses03F_impro06_
like,0.6923076923076923,9,14,2,6way,train,Ses03F_impro06_
and,1.0,13,14,2,6way,train,Ses03F_impro06_
and,1.0,5,6,2,6way,train,Ses03F_impro06_
but,0.058823529411764705,1,18,2,6way,train,Ses03F_impro06_
and,0.4117647058823529,7,18,2,6way,train,Ses03F_impro06_
and,1.0,17,18,2,6way,train,Ses03F_impro06_
so,0.0,0,6,2,6way,train,Ses03F_impro06_
so,0.0,0,2,2,6way,train,Ses03F_impro06_
but,0.09090909090909091,1,12,2,6way,train,Ses03F_impro06_
so,0.0,0,4,2,6way,train,Ses03F_impro06_
so,0.6666666666666666,2,4,2,6way,train,Ses03F_impro06_
like,0.8,4,6,2,6way,train,Ses03F_impro06_
but,1.0,7,8,2,6way,train,Ses03F_impro06_
so,0.75,3,5,2,6way,train,Ses03F_impro06_
like,0.7777777777777778,7,10,2,6way,train,Ses03F_impro06_
but,1.0,9,10,2,6way,train,Ses03F_impro06_
so,0.16666666666666666,1,7,1,6way,train,Ses03F_impro07_
so,0.6666666666666666,4,7,1,6way,train,Ses03F_impro07_
so,0.3333333333333333,2,7,1,6way,train,Ses03F_impro07_
oh,0.0,0,2,-1,6way,train,Ses03F_impro07_
maybe,0.2222222222222222,2,10,-1,6way,train,Ses03F_impro07_
oh,0.0,0,5,-1,6way,train,Ses03F_impro07_
oh,0.0,0,2,-1,6way,train,Ses03F_impro07_
like,0.7358490566037735,39,54,4,6way,train,Ses03F_impro07_
so,0.9811320754716981,52,54,4,6way,train,Ses03F_impro07_
oh,0.9433962264150944,50,54,4,6way,train,Ses03F_impro07_
and,0.2641509433962264,14,54,4,6way,train,Ses03F_impro07_
and,0.37735849056603776,20,54,4,6way,train,Ses03F_impro07_
and,0.6792452830188679,36,54,4,6way,train,Ses03F_impro07_
and,0.8113207547169812,43,54,4,6way,train,Ses03F_impro07_
and,0.8867924528301887,47,54,4,6way,train,Ses03F_impro07_
like,0.10714285714285714,3,29,-1,6way,train,Ses03F_impro07_
like,0.21428571428571427,6,29,-1,6way,train,Ses03F_impro07_
like,0.6071428571428571,17,29,-1,6way,train,Ses03F_impro07_
like,0.8571428571428571,24,29,-1,6way,train,Ses03F_impro07_
and,0.0,0,29,-1,6way,train,Ses03F_impro07_
and,0.7857142857142857,22,29,-1,6way,train,Ses03F_impro07_
like,0.4,4,11,4,6way,train,Ses03F_impro07_
and,0.0,0,11,4,6way,train,Ses03F_impro07_
oh,0.0,0,2,3,6way,train,Ses03F_impro07_
so,0.16666666666666666,1,7,1,6way,train,Ses03F_impro07_
and,0.0,0,7,1,6way,train,Ses03F_impro07_
so,0.8,4,6,4,6way,train,Ses03F_impro07_
oh,0.0,0,6,4,6way,train,Ses03F_impro07_
so,0.0,0,13,1,6way,train,Ses03F_impro07_
and,0.5,6,13,1,6way,train,Ses03F_impro07_
but,0.8333333333333334,5,7,3,6way,train,Ses03F_impro07_
yet,0.6666666666666666,4,7,3,6way,train,Ses03F_impro07_
so,0.5714285714285714,4,8,-1,6way,train,Ses03F_impro07_
like,1.0,20,21,4,6way,train,Ses03F_impro07_
so,0.1,2,21,4,6way,train,Ses03F_impro07_
so,0.9,18,21,4,6way,train,Ses03F_impro07_
oh,0.25,5,21,4,6way,train,Ses03F_impro07_
and,0.4,8,21,4,6way,train,Ses03F_impro07_
so,1.0,13,14,-1,6way,train,Ses03F_impro07_
oh,0.0,0,14,-1,6way,train,Ses03F_impro07_
so,0.125,2,17,4,6way,train,Ses03F_impro07_
so,0.0,0,16,4,6way,train,Ses03F_impro07_
so,0.07142857142857142,1,15,4,6way,train,Ses03F_impro07_
but,0.9285714285714286,13,15,4,6way,train,Ses03F_impro07_
though,0.35714285714285715,5,15,4,6way,train,Ses03F_impro07_
so,0.375,3,9,1,6way,train,Ses03F_impro07_
so,0.625,5,9,1,6way,train,Ses03F_impro07_
oh,0.0,0,9,1,6way,train,Ses03F_impro07_
so,0.7142857142857143,5,8,-1,6way,train,Ses03F_impro07_
like,0.6923076923076923,9,14,-1,6way,train,Ses03F_impro07_
so,0.07692307692307693,1,14,-1,6way,train,Ses03F_impro07_
and,1.0,13,14,-1,6way,train,Ses03F_impro07_
so,0.2857142857142857,2,8,1,6way,train,Ses03F_impro07_
so,0.9565217391304348,22,24,4,6way,train,Ses03F_impro07_
oh,0.0,0,24,4,6way,train,Ses03F_impro07_
and,0.043478260869565216,1,24,4,6way,train,Ses03F_impro07_
and,0.21739130434782608,5,24,4,6way,train,Ses03F_impro07_
so,1.0,11,12,4,6way,train,Ses03F_impro07_
like,0.42857142857142855,3,8,4,6way,train,Ses03F_impro07_
so,0.6666666666666666,4,7,-1,6way,train,Ses03F_impro07_
oh,0.0,0,7,-1,6way,train,Ses03F_impro07_
so,0.8571428571428571,6,8,3,6way,train,Ses03F_impro07_
oh,0.0,0,8,-1,6way,train,Ses03F_impro07_
though,0.75,6,9,-1,6way,train,Ses03F_impro07_
like,0.8333333333333334,5,7,-1,6way,train,Ses03F_impro07_
well,0.0,0,5,3,6way,train,Ses03F_impro07_
so,0.8,4,6,1,6way,train,Ses03F_impro07_
oh,0.2,1,6,1,6way,train,Ses03F_impro07_
like,0.8,8,11,-1,6way,train,Ses03F_impro08_
so,0.6,12,21,-1,6way,train,Ses03F_impro08_
and,0.25,5,21,-1,6way,train,Ses03F_impro08_
so,0.2,4,21,3,6way,train,Ses03F_impro08_
so,0.4,8,21,3,6way,train,Ses03F_impro08_
but,0.25,5,21,3,6way,train,Ses03F_impro08_
and,0.85,17,21,3,6way,train,Ses03F_impro08_
like,0.7692307692307693,10,14,3,6way,train,Ses03F_impro08_
like,0.43478260869565216,10,24,5,6way,train,Ses03F_impro08_
so,0.043478260869565216,1,24,5,6way,train,Ses03F_impro08_
and,0.14285714285714285,1,8,3,6way,train,Ses03F_impro08_
well,0.0,0,20,3,6way,train,Ses03F_impro08_
and,0.9473684210526315,18,20,3,6way,train,Ses03F_impro08_
you know,0.0,0,12,0,6way,train,Ses03F_impro08_
well,0.0,0,9,3,6way,train,Ses03F_impro08_
and,0.5,4,9,3,6way,train,Ses03F_impro08_
but,0.0,0,11,3,6way,train,Ses03F_impro08_
well,0.0,0,3,-1,6way,train,Ses03F_impro08_
like,0.2777777777777778,5,19,3,6way,train,Ses03F_impro08_
well,0.05555555555555555,1,19,3,6way,train,Ses03F_impro08_
probably,0.8333333333333334,15,19,3,6way,train,Ses03F_impro08_
so,0.06666666666666667,3,46,3,6way,train,Ses03F_impro08_
but,0.08888888888888889,4,46,3,6way,train,Ses03F_impro08_
oh,0.0,0,3,0,6way,train,Ses03F_impro08_
well,0.0625,1,17,3,6way,train,Ses03F_impro08_
so,0.55,11,21,3,6way,train,Ses03F_impro08_
probably,0.15,3,21,3,6way,train,Ses03F_impro08_
and,0.0,0,21,3,6way,train,Ses03F_impro08_
